pair_id,skill,old_description,new_description,has_gt_anchor,gt_anchor_name,gt_anchor_canonical,gt_anchor_score
197,TikTok marketing,Lacks proficiency in using TikTok to promote stock investment services and develop a new customer base.,"Capability to apply TikTok marketing in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Applying general communication skills.",True,Applying general communication skills,Applying general communication skills,1.0
197,YouTube marketing,Needs expertise in YouTube content strategies to attract potential investors and expand investment consultation reach.,"Capability to apply YouTube marketing in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Applying general communication skills.",True,Applying general communication skills,Applying general communication skills,1.0
197,Technical analysis (TA),Lacks competency in interpreting stock charts and technical indicators to provide precise investment timing and stock selection.,"Capability to apply Technical analysis (TA) in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Applying general communication skills.",True,Applying general communication skills,Applying general communication skills,1.0
197,Financial analysis (FA),Missing the ability to analyze financial statements and market news to guide clients toward sound investment decisions.,"Capability to apply Financial analysis (FA) in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Applying general communication skills.",True,Applying general communication skills,Applying general communication skills,1.0
201,CAD/CAM software,Lack of technical knowledge regarding computer-aided design and manufacturing tools for effective B2B selling to industrial clients.,"Capability to apply CAD/CAM software in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
201,cloud computing,Insufficient understanding of cloud infrastructure and service models required to position enterprise software solutions within modern IT environments.,"Capability to apply cloud computing in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Hadoop Model Explanation.",True,Hadoop Model Explanation,Hadoop Model Explanation,1.0
198,Real Estate Law,Requires deep understanding of property laws to draft and review complex leasing and purchasing contracts for high-end transactions.,"Capability to apply Real Estate Law in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Skimming and Scanning Skills.",True,Skimming and Scanning Skills,Skimming and Scanning Skills,1.0
198,Labor Law,Necessary for providing internal legal counsel and ensuring the company's operational compliance with national employment and labor regulations.,"Capability to apply Labor Law in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Skimming and Scanning Skills.",True,Skimming and Scanning Skills,Skimming and Scanning Skills,1.0
198,English proficiency,Needs fluent reading and writing skills to manage bilingual real estate contracts and communicate with international clients effectively.,"Capability to apply English proficiency in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Labor Law Theoretical Knowledge.",True,Labor Law Theoretical Knowledge,Labor Law Theoretical Knowledge,1.0
208,Kubernetes,Missing proficiency in container orchestration for managing and scaling Java backend applications in cloud-native environments.,"Capability to apply Kubernetes in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
208,AWS,"Lacks experience with Amazon Web Services for deploying, hosting, and managing enterprise-grade backend systems and databases.","Capability to apply AWS in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
208,GCP,Requires knowledge of Google Cloud Platform tools and infrastructure for building and operating cloud-based backend services.,"Capability to apply GCP in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
208,GOC,Lacks experience with GOC frameworks or operational standards required for LG CNS backend development projects.,"Capability to apply GOC in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
219,Zalo Ads,Lacking proficiency in deploying and optimizing advertising campaigns specifically on the Zalo platform to reach local audiences.,"Capability to apply Zalo Ads in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Classify problem-solving methods using search techniques.",True,Classify problem-solving methods using search techniques,Classify problem-solving methods using search techniques,1.0
219,AI,Need to apply artificial intelligence tools to automate marketing activities and improve customer engagement efficiency.,"Capability to apply AI in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Classify problem-solving methods using search techniques.",True,Classify problem-solving methods using search techniques,Classify problem-solving methods using search techniques,1.0
219,chatbots,Missing experience in implementing and managing automated chatbots to streamline customer interactions and support marketing automation.,"Capability to apply chatbots in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Classify problem-solving methods using search techniques.",True,Classify problem-solving methods using search techniques,Classify problem-solving methods using search techniques,1.0
221,Python,Missing competency in Python for automating recruitment reporting and performing advanced HR data analysis.,"Capability to apply Python in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Data Representation.",True,Data Representation,Data Representation,1.0
221,SQL,Lack of SQL skills to query and manage candidate databases or HR information systems effectively.,"Capability to apply SQL in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Data Representation.",True,Data Representation,Data Representation,1.0
221,AWS,Missing knowledge of AWS cloud platforms for deploying and managing HR-related applications and infrastructure.,"Capability to apply AWS in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Data Representation.",True,Data Representation,Data Representation,1.0
221,CISSP,Lacks information security expertise required to safeguard recruitment platforms and sensitive candidate information.,"Capability to apply CISSP in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Data Representation.",True,Data Representation,Data Representation,1.0
221,Machine Learning,Inability to utilize machine learning for optimizing candidate matching and predicting training program effectiveness.,"Capability to apply Machine Learning in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Data Representation.",True,Data Representation,Data Representation,1.0
223,purchase order management,Competency needed to manage internal purchase orders and organize accounting data efficiently within the administrative workflow.,"Capability to apply purchase order management in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Dynamic Value-Based Pricing.",True,Dynamic Value-Based Pricing,Dynamic Value-Based Pricing,1.0
223,inventory management,Missing ability to perform basic inventory tracking and monitoring as part of the overall internal accounting data management.,"Capability to apply inventory management in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Dynamic Value-Based Pricing.",True,Dynamic Value-Based Pricing,Dynamic Value-Based Pricing,1.0
223,human resources management,"Lacks experience in managing payroll, social insurance procedures, and human resources documentation alongside administrative and accounting tasks.","Capability to apply human resources management in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Dynamic Value-Based Pricing.",True,Dynamic Value-Based Pricing,Dynamic Value-Based Pricing,1.0
224,Stock investment advice,Missing the ability to professionally consult clients on stock selection and portfolio management for optimal investment returns.,"Capability to apply Stock investment advice in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Business Behavior Analysis.",True,Business Behavior Analysis,Business Behavior Analysis,1.0
224,Trading strategies,Needs proficiency in designing and implementing systematic buy/sell approaches based on technical analysis and market volatility.,"Capability to apply Trading strategies in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Business Behavior Analysis.",True,Business Behavior Analysis,Business Behavior Analysis,1.0
224,Market analysis,Lacking skills to evaluate financial data and market trends to provide informed insights for stock recommendations.,"Capability to apply Market analysis in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Economic Cycle Understanding.",True,Economic Cycle Understanding,Economic Cycle Understanding,1.0
0,Azure,"Missing proficiency in designing, building, and operating database systems within the Microsoft Azure public cloud environment.","Capability to apply Azure in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
0,Redshift,Lacks experience managing and optimizing Amazon Redshift databases for large-scale data engineering and cloud operations.,"Capability to apply Redshift in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
0,BigQuery,Inadequate experience in operating Google BigQuery databases for cloud-based data management and engineering tasks.,"Capability to apply BigQuery in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
225,Health insurance,Understand health policy options and digital consulting to effectively offer coverage through the MIC application.,"Capability to apply Health insurance in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analytical Thinking.",True,Analytical Thinking,Analytical Thinking,1.0
225,Auto insurance,Master motor vehicle insurance product details and policy entry using the app's 100% digital process.,"Capability to apply Auto insurance in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analytical Thinking.",True,Analytical Thinking,Analytical Thinking,1.0
225,Travel insurance,Gain proficiency in explaining travel risk coverage and managing online contract signing for travel policies.,"Capability to apply Travel insurance in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analytical Thinking.",True,Analytical Thinking,Analytical Thinking,1.0
225,Property insurance,Learn to consult on property protection products and complete data entry tasks via the QR-code system.,"Capability to apply Property insurance in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analytical Thinking.",True,Analytical Thinking,Analytical Thinking,1.0
225,Market sales,Develop techniques to identify potential leads and drive non-life insurance sales in a digital-first environment.,"Capability to apply Market sales in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analytical Thinking.",True,Analytical Thinking,Analytical Thinking,1.0
225,Team management,Acquire skills to supervise insurance collaborators and manage partner networks to optimize passive income streams.,"Capability to apply Team management in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analytical Thinking.",True,Analytical Thinking,Analytical Thinking,1.0
226,database management,Lacks proficiency in managing inventory databases to ensure accurate tracking and reporting of warehouse stock movements.,"Capability to apply database management in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Critical Thinking.",True,Critical Thinking,Applying Critical Thinking to Solve Practical Problems,1.0
1,n8n,Ability to design automated test strategies for complex API orchestration workflows and headless logic validation in n8n.,"Capability to apply n8n in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Classify problem-solving methods using search techniques.",True,Classify problem-solving methods using search techniques,Classify problem-solving methods using search techniques,1.0
1,AI-Native,Proficiency in leveraging artificial intelligence to accelerate test creation and maintain living documentation as a force multiplier.,"Capability to apply AI-Native in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Classify problem-solving methods using search techniques.",True,Classify problem-solving methods using search techniques,Classify problem-solving methods using search techniques,1.0
1,AI-Augmented Daily Workflows,"Competency in using AI tools daily to optimize QA analysis, accelerate documentation, and improve technical execution efficiency.","Capability to apply AI-Augmented Daily Workflows in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Classify problem-solving methods using search techniques.",True,Classify problem-solving methods using search techniques,Classify problem-solving methods using search techniques,1.0
232,Salary calculation,"Competency in processing payroll, calculating monthly salaries, and managing deductions based on attendance and labor regulations.","Capability to apply Salary calculation in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Adaptability in international working environments.",True,Adaptability in international working environments,Adaptability in international working environments,1.0
232,Social insurance procedures,Expertise in handling statutory social insurance reporting and ensuring legal compliance for health and unemployment benefits.,"Capability to apply Social insurance procedures in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Adaptability in international working environments.",True,Adaptability in international working environments,Adaptability in international working environments,1.0
232,Accounting principles,Applying core accounting standards to verify administrative documents and maintain accurate financial records per JD requirements.,"Capability to apply Accounting principles in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Adaptability in international working environments.",True,Adaptability in international working environments,Adaptability in international working environments,1.0
2,GraphQL,Ability to build and optimize GraphQL APIs for delivering real-time transaction data and price updates.,"Capability to apply GraphQL in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
2,Kubernetes,"Experience deploying, monitoring, and scaling microservices within Kubernetes environments to ensure high reliability and low latency.","Capability to apply Kubernetes in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
2,lock-free programming,Deep understanding of lock-free programming to optimize performance for critical modules like order books and signal processing.,"Capability to apply lock-free programming in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
2,log analysis,Proficiency in log analysis to identify system issues and ensure backend code quality within trading environments.,"Capability to apply log analysis in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Hadoop Model Explanation.",True,Hadoop Model Explanation,Hadoop Model Explanation,1.0
2,production issue resolution,Competency in quickly resolving critical system outages and performance incidents during high-load peak trading periods.,"Capability to apply production issue resolution in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
2,"cloud services (AWS, GCP)",Experience managing and scaling backend trading infrastructure using cloud service providers like AWS or GCP.,"Capability to apply cloud services (AWS, GCP) in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Hadoop Model Explanation.",True,Hadoop Model Explanation,Hadoop Model Explanation,1.0
240,.Net,"Expertise in .Net to integrate AI-first solutions within modular, production-grade cloud-native banking architectures.","Capability to apply .Net in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analyzing and Designing Application Functions.",True,Analyzing and Designing Application Functions,Analyzing and Designing Application Functions,1.0
240,data pipelines,Ability to design automated data pipelines that support the continuous improvement and monitoring of advanced AI workloads.,"Capability to apply data pipelines in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analyzing and Designing Application Functions.",True,Analyzing and Designing Application Functions,Analyzing and Designing Application Functions,1.0
240,modern data engineering stacks,"Knowledge of modern data engineering stacks to build foundational architectures for scalable, intelligent agentic banking ecosystems.","Capability to apply modern data engineering stacks in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analyzing and Designing Application Functions.",True,Analyzing and Designing Application Functions,Analyzing and Designing Application Functions,1.0
240,computer vision,Competency in computer vision to implement advanced AI technologies alongside LLMs for comprehensive agent-driven financial services.,"Capability to apply computer vision in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analyzing and Designing Application Functions.",True,Analyzing and Designing Application Functions,Analyzing and Designing Application Functions,1.0
4,Google Cloud Deployment Manager,Ability to automate cloud infrastructure provisioning and management using native Google Cloud Deployment Manager templates.,"Capability to apply Google Cloud Deployment Manager in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: AES.",True,AES,AES,1.0
4,Go,Proficiency in the Go programming language for developing automation scripts and managing cloud-native infrastructure tools.,"Capability to apply Go in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: AES.",True,AES,AES,1.0
4,encryption,"Competency in implementing data encryption best practices to ensure security, compliance, and data protection on GCP.","Capability to apply encryption in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: AES.",True,AES,AES,1.0
4,disaster recovery strategies,Experience designing and executing disaster recovery strategies to maintain business continuity and minimize infrastructure downtime.,"Capability to apply disaster recovery strategies in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: AES.",True,AES,AES,1.0
253,Tax regulations knowledge,Lack of expertise in tax laws and regulations affecting corporate F&B operations and financial compliance.,"Capability to apply Tax regulations knowledge in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Author's Rights and Related Rights.",True,Author's Rights and Related Rights,Author's Rights and Related Rights,1.0
253,Intellectual property law,Missing knowledge of intellectual property laws required for managing trademarks and protecting company-specific brand assets.,"Capability to apply Intellectual property law in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Author's Rights and Related Rights.",True,Author's Rights and Related Rights,Author's Rights and Related Rights,1.0
253,Food safety certification processes,Needs proficiency in legal procedures for obtaining and maintaining food safety certificates required for F&B operations.,"Capability to apply Food safety certification processes in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Author's Rights and Related Rights.",True,Author's Rights and Related Rights,Author's Rights and Related Rights,1.0
253,Alcohol consumption permit procedures,Deficiency in handling legal applications and regulatory compliance for alcohol consumption and distribution permits in restaurants.,"Capability to apply Alcohol consumption permit procedures in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Author's Rights and Related Rights.",True,Author's Rights and Related Rights,Author's Rights and Related Rights,1.0
257,Docker,Competency in containerizing data applications to ensure consistent deployment environments for ETL pipelines and processing tasks.,"Capability to apply Docker in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
257,EC2,Ability to provision and manage virtual servers for hosting custom data engineering workloads and scalable computing resources.,"Capability to apply EC2 in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
257,VPC,Knowledge of designing secure network architectures to protect data pipelines and manage connectivity between cloud-native services.,"Capability to apply VPC in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
257,ECS/EKS,Proficiency in orchestrating containerized data services and scaling workloads using Amazon ECS or Kubernetes environments.,"Capability to apply ECS and EKS in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
257,RDS,Skill in managing and integrating relational databases within AWS to support structured data storage and processing requirements.,"Capability to apply RDS in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
257,Data Lakes,Expertise in building and maintaining scalable repositories on S3 to store and govern diverse datasets for analytics.,"Capability to apply Data Lakes in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
263,Material Design,Expertise in Google’s Material Design standards is required to create compliant and intuitive mobile application user interfaces.,"Capability to apply Material Design in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Figma.",True,Figma,Figma,1.0
263,Information Architecture,Capability to structure complex content and logical flows to ensure intuitive navigation within mobile application environments.,"Capability to apply Information Architecture in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Figma.",True,Figma,Figma,1.0
263,Design System,Ability to develop and manage a unified design system to ensure aesthetic consistency and efficiency across mobile product updates.,"Capability to apply Design System in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Figma.",True,Figma,Figma,1.0
9,Python,Missing proficiency in Python to automate complex HR data processing and streamline monthly salary calculation workflows.,"Capability to apply Python in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Data Representation.",True,Data Representation,Data Representation,1.0
9,SQL,Lacks the ability to use SQL for querying and managing large employee datasets within integrated HR systems.,"Capability to apply SQL in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Data Representation.",True,Data Representation,Data Representation,1.0
9,AWS,Requires technical competency in utilizing AWS cloud infrastructure to manage and secure digital HR records and applications.,"Capability to apply AWS in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Data Representation.",True,Data Representation,Data Representation,1.0
9,SEO,Missing skills in SEO to optimize online job advertisements for better visibility and talent attraction.,"Capability to apply SEO in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Data Representation.",True,Data Representation,Data Representation,1.0
