pair_id,jd_id,gap_source,gap_count,identified_gaps,groundtruth_technical_gaps,gap_match_details,missed_gap_confusions,canonical_skill_count,canonical_skill_ids,canonical_skill_labels,gap_to_canonical_top1,truth_count,truth_courses,pred_top10,pred_top10_titles,overlap_top10,hit@1,hit@3,hit@5,hit@10
23,694a8e0847743a24b54ffb0a,groundtruth_dataset,3,Python; C#; Playwright,Python; C#; Playwright,<groundtruth_gap_source>,,9,11a4a60b518bf249; c44d9221d54651ad; abf415901e538ca7; b27794974a29d825; 4b351a323634f057; 2f84c910ea74ba58; ee0902fbd881250a; d5deacdd34788a54; a5858cfd572ec358,Python; Python Programming; Python Programming Language; ADO.NET Programming; Using C# programming language in Visual Studio; Visual Studio; Speech writing; PR writing skills; PR writing process,Python -> 11a4a60b518bf249:Python (1.0000); C# -> b27794974a29d825:ADO.NET Programming (0.8934); Playwright -> ee0902fbd881250a:Speech writing (0.8402),2,CNTT1180; TIHT1113,MKTT1132; CNTT1133; TIHT1113; CNTT11105; TIKT1135; CNTT1177,Writing skills for public relations; Application Programming; Development of Management Applications; Cryptography and Information Security; Development of Open Source Software and Applications; Machine Learning,TIHT1113,0.0,1.0,1.0,1.0
30,694a8e9e47743a24b54ffb0b,groundtruth_dataset,2,AWS; cloud platforms,AWS; cloud platforms,<groundtruth_gap_source>,,4,81121f330a983b7f; cc975e69d79a6f6f; b160bc1ca65d65b1; a468720e1a5dc0cb,Cloud computing; Cloud Concepts; Cloud Computing Fundamentals; Cloud Service Analysis,AWS -> 81121f330a983b7f:Cloud computing (0.8744); cloud platforms -> 81121f330a983b7f:Cloud computing (0.9375),2,CNTT1167; CNTT1198,CNTT1167; CNTT1186; CNTT1198,Cloud Computing; Advanced Technologies in Information and Communication Technology; Cloud Service Security,CNTT1167; CNTT1198,1.0,1.0,1.0,1.0
31,697b1754b166038a822e4d36,groundtruth_dataset,3,Real estate industry experience; Project management; Managing outsourced content providers,Real estate industry experience; Project management; Managing outsourced content providers,<groundtruth_gap_source>,,9,d39dddf64562b7ae; 6fa3de47ed5f9fd7; f372f8863ded265d; 5a7c3011cba026a3; 2d31b2a008606b05; 44276935aa3ffcbc; a537684cc680a4d8; c14001f956a16ae9; 08c004f02b583391,Real Estate Business Overview; Real Estate Brokerage Overview; Effective real estate management operations; Project Management; Project Management for Software Development; Project Management Concepts; Understanding characteristics of media channels; Service Provider System; Global Sourcing,Real estate industry experience -> d39dddf64562b7ae:Real Estate Business Overview (0.9048); Project management -> 5a7c3011cba026a3:Project Management (0.9944); Managing outsourced content providers -> a537684cc680a4d8:Understanding characteristics of media channels (0.8482),3,TNBD1137; TNBD1115; TNBD1116,MKTT1158; KTKE1110; TMKT1145; CNTT1107; CNTT1157; TNTN1138; CNTT1137; TNKT1140; TNKT1150; QTKD1149,Advertising media planning; Public Accounting 2; Business Logistics; Operating Systems; Mobile Applications Development; Environmental Impact Assessment of Natural Resource Projects; Business Analysis; Economics and Management of Community Development; Agribusiness Investment Project; Operations Management 2,,0.0,0.0,0.0,0.0
35,694a8e9e47743a24b54ffb0d,groundtruth_dataset,5,information security governance frameworks; compliance management; periodic review processes; security compliance standards; cloud security principles,information security governance frameworks; compliance management; periodic review processes; security compliance standards; cloud security principles,<groundtruth_gap_source>,,12,08994031d78229cb; d2c60407bbda495f; 3074ef28c4435f88; 8803662d165dcea7; a8c6e3a7760f164b; f1eafe18f66cdd6f; 360b13aa49797a20; 46dc0d772e2436a2; 1b9f2eb0a7babc27; 448e8a55f0c63487; 0bcc7664f42fa9b3; c0656a06590b5361,Information security; Risk Management Framework; Securing Information Systems; Compliance Standards; Compliance with Rules and Regulations; Compliance with Laws and Regulations; Audit Follow-up; System Review; Audit procedure planning; Cloud Security Architecture; Cloud Security Design Patterns; Database Security Principles,information security governance frameworks -> 08994031d78229cb:Information security (0.9084); compliance management -> 8803662d165dcea7:Compliance Standards (0.9105); periodic review processes -> 360b13aa49797a20:Audit Follow-up (0.8684); security compliance standards -> 8803662d165dcea7:Compliance Standards (0.9235); cloud security principles -> 448e8a55f0c63487:Cloud Security Architecture (0.9460),4,CNTT1198; CNTT1168; CNTT1197; CNTT1199,CNTT1198; KTKI 1115; KTKI 1116; TIHT1106; CNTT11102; BHKT1163; TIKT1109; KTKI1109; CNTT1199; CNTT1152,Cloud Service Security; Kiểm toán nội bộ; Financial Audit Practice; English for Management Information System; Vulnerability Assessment and Penetration Testing; Risk Management in Insurance; Basic Informatics; Financial Auditing 2; Software and Database Security; Database Management Systems,CNTT1198; CNTT1199,1.0,1.0,1.0,1.0
37,695cba711fa95d1eeecca0b9,groundtruth_dataset,5,JPA; Flyway; AWS Cognito; AWS SES; Digital Marketing domain,JPA; Flyway; AWS Cognito; AWS SES; Digital Marketing domain,<groundtruth_gap_source>,,14,213b8a04e6059034; 53cc299fdb23d21d; bebe8fe7d553f62f; 4611994bd0ab71de; 0903a2efa00ef879; e687563e03a65281; ad4b0d58e0291133; 0bcc7664f42fa9b3; cc975e69d79a6f6f; 81121f330a983b7f; a468720e1a5dc0cb; d8f8892a74cd1a85; de4e86f56114e5a7; ac388c14c17793f5,EJB Techniques; Transaction Management; Database Querying; MySQL Database Management System; SQL Database Management; Database Integration; Identity Management; Cloud Security Design Patterns; Cloud Concepts; Cloud computing; Cloud Service Analysis; Digital marketing decision-making process; Understanding the nature of digital marketing; Proposing digital marketing strategies,JPA -> 213b8a04e6059034:EJB Techniques (0.8651); Flyway -> 4611994bd0ab71de:MySQL Database Management System (0.8612); AWS Cognito -> ad4b0d58e0291133:Identity Management (0.8636); AWS SES -> 81121f330a983b7f:Cloud computing (0.8603); Digital Marketing domain -> d8f8892a74cd1a85:Digital marketing decision-making process (0.9135),3,CNTT1167; MKBH1116; CNTT1153,MKBH1116; CNTT1198; CNTT1167; CNTT1190; CNTT1152; CNTT1187; TIKT1135; TIKT1124; CNTT1188; CNTT1186,Digital Marketing; Cloud Service Security; Cloud Computing; Service Oriented Software Development; Database Management Systems; Data Analysis Programming; Development of Open Source Software and Applications; Database Application; Web Programming; Advanced Technologies in Information and Communication Technology,MKBH1116; CNTT1167,1.0,1.0,1.0,1.0
38,696f058ab166038a822e4742,groundtruth_dataset,3,Financial Analysis; Managerial Accounting; Budget Management,Financial Analysis; Managerial Accounting; Budget Management,<groundtruth_gap_source>,,9,6a6ebe8510ced07b; 7dab1349ff5de7ba; 2cf83fcbd09ccf46; d1e401743dbc1ef1; c7e5be6f7051b9ff; 9efa04f2864f0dae; 30dfc23a621db88b; 92c6d7dc77845163; ebf2a3d390233a41,Financial Analysis; Financial Analysis Methods; Financial Analysis Fundamentals; Managerial Accounting Concepts; Managerial Accounting Data Analysis; Understanding the nature and role of managerial accounting; Budget system and management; Budget Planning; Financial Resource Management,Financial Analysis -> 6a6ebe8510ced07b:Financial Analysis (1.0000); Managerial Accounting -> d1e401743dbc1ef1:Managerial Accounting Concepts (0.9573); Budget Management -> 30dfc23a621db88b:Budget system and management (0.9537),3,QTKD1130; KTHT1104; KHMA1125,NHTC1103; MTDT1123; KTQT1103; PTKT1108; KTHT1104; NHCO1107; NHTC1108; DTKT 1111; TNKT1150,Quản trị Tài chính trong du lịch và khách sạn; Urban Housing Economics and Management; Managerial Accounting 1; Development Planning 2; Data Analytics for Accounting; Public Finance; Financial Analysis; Investment Project Design and Management; Agribusiness Investment Project,KTHT1104,0.0,0.0,1.0,1.0
39,695cbba01fa95d1eeecca0bb,groundtruth_dataset,7,".Net; data pipelines; generative AI; NLP; computer vision; cloud environments (Azure, AWS, GCP); AI workloads optimization",".Net; data pipelines; generative AI; NLP; computer vision; cloud environments (Azure, AWS, GCP); AI workloads optimization",<groundtruth_gap_source>,,19,82a2c9e39ba6e496; 4b0bff2b60f84764; f6f66ec6f788a289; e687563e03a65281; 466aa590b261ac02; c03ed4b4dc0faa7e; d7a0db78b674962b; 803b3eb2b6af0271; e0d7a3c97f855702; 10be35b30753d337; bbbfae3f1f7e7039; 4c330d312e1c7bda; a96d97811142b63d; 09059e0afcdd1df3; 81121f330a983b7f; cc975e69d79a6f6f; b160bc1ca65d65b1; 50779cd6819806ac; a468720e1a5dc0cb,Wide Area Networks (WAN); Utilization of Networking and Internet Technologies; Familiarity with computer networks and internet technologies; Database Integration; Organizing Data and Document Flows; Data and Document Flow Organization; Text Creation; Artificial intelligence; Information retrieval and synthesis; Interpretation and Recommendation Skills; Information synthesis and analysis; Machine Learning for Image Recognition; Feature-Based Image Recognition; AI Techniques for Image Recognition; Cloud computing; Cloud Concepts; Cloud Computing Fundamentals; Research and develop AI applications; Cloud Service Analysis,".Net -> 82a2c9e39ba6e496:Wide Area Networks (WAN) (0.8701); data pipelines -> e687563e03a65281:Database Integration (0.8728); generative AI -> d7a0db78b674962b:Text Creation (0.9109); NLP -> 803b3eb2b6af0271:Artificial intelligence (0.8966); computer vision -> 4c330d312e1c7bda:Machine Learning for Image Recognition (0.9214); cloud environments (Azure, AWS, GCP) -> 81121f330a983b7f:Cloud computing (0.9231); AI workloads optimization -> 50779cd6819806ac:Research and develop AI applications (0.8611)",4,CNTT1177; CNTT1130; CNTT1167; CNTT1140,CNTT1166; CNTT1186; CNTT1167; TMQT1132; KTHT 1102; CNTT1114; NLQT1106; TMQT1152; KTHT1104; CNTT1140,Digital Image Processing; Advanced Technologies in Information and Communication Technology; Cloud Computing; Fundamentals of E-commerce; Accounting Information Systems 2; Computer Network and Data Communication; English for Human Resource Management; E-commerce Transaction: Theory and Practice; Data Analytics for Accounting; Artificial Intelligence,CNTT1167; CNTT1140,0.0,1.0,1.0,1.0
49,695cbc321fa95d1eeecca0bd,groundtruth_dataset,2,Cloud platforms; AWS,Cloud platforms; AWS,<groundtruth_gap_source>,,4,81121f330a983b7f; cc975e69d79a6f6f; a468720e1a5dc0cb; b160bc1ca65d65b1,Cloud computing; Cloud Concepts; Cloud Service Analysis; Cloud Computing Fundamentals,Cloud platforms -> 81121f330a983b7f:Cloud computing (0.9484); AWS -> 81121f330a983b7f:Cloud computing (0.8744),1,CNTT1167,CNTT1167; CNTT1186; CNTT1198,Cloud Computing; Advanced Technologies in Information and Communication Technology; Cloud Service Security,CNTT1167,1.0,1.0,1.0,1.0
52,694a90f547743a24b54ffb12,groundtruth_dataset,3,ERP; digital marketing; technical writing,ERP; digital marketing; technical writing,<groundtruth_gap_source>,,9,e6a3b5530494287f; a94213fb6a83bebc; 6af2e1ecafd15b88; d8f8892a74cd1a85; 90b1bad7787cb161; ac388c14c17793f5; 0cf41d5fc9dec478; 2670a9f7b69eda59; 05878da4bc7d3249,Enterprise resource planning systems; Enterprise Management Tools; Deploy Business Intelligence Systems; Digital marketing decision-making process; Direct and Online Marketing; Proposing digital marketing strategies; Technical Writing; Website writing; Technical Communication,ERP -> e6a3b5530494287f:Enterprise resource planning systems (0.9222); digital marketing -> d8f8892a74cd1a85:Digital marketing decision-making process (0.9290); technical writing -> 0cf41d5fc9dec478:Technical Writing (0.9692),2,MKBH1116; MKMA1159,MKBH1116; MKTT1132; TIKT1135; TIKT1122; MTKT1119; DTKT1131; PTKT1108; CNTT1168; MKMA1110; TOKT1149,Digital Marketing; Writing skills for public relations; Development of Open Source Software and Applications; Business Intelligence; Natural Resource and Environmental Management; Quantity Surveyor and Budget Planning; Development Planning 2; An toàn và bảo mật thông tin; Marketing Management; Data Driven Marketing,MKBH1116,1.0,1.0,1.0,1.0
55,695cbcbd1fa95d1eeecca0be,groundtruth_dataset,5,MongoDB; Kubernetes; AWS; GCP; GO,MongoDB; Kubernetes; AWS; GCP; GO,<groundtruth_gap_source>,,11,cb62eba40b93615e; b53b7753437c5fbf; 4611994bd0ab71de; cc975e69d79a6f6f; 81121f330a983b7f; a468720e1a5dc0cb; b160bc1ca65d65b1; 70f0d3e18d498cc9; 454349e422f05297; 11a4a60b518bf249; bee590cd707e7172,Designing applications with MongoDB; Using other NoSQL databases; MySQL Database Management System; Cloud Concepts; Cloud computing; Cloud Service Analysis; Cloud Computing Fundamentals; Google Colab; R; Python; JavaScript Programming,MongoDB -> cb62eba40b93615e:Designing applications with MongoDB (0.9266); Kubernetes -> cc975e69d79a6f6f:Cloud Concepts (0.8492); AWS -> 81121f330a983b7f:Cloud computing (0.8744); GCP -> cc975e69d79a6f6f:Cloud Concepts (0.8816); GO -> 454349e422f05297:R (0.8351),3,CNTT1167; TIKT1124; TIKT1130,CNTT1175; CNTT1167; CNTT11105; CNTT1186; CNTT1180; TIKT1135; CNTT1165; TOTC1108; CNTT1198,Unstructured database; Cloud Computing; Cryptography and Information Security; Advanced Technologies in Information and Communication Technology; Python Programming; Development of Open Source Software and Applications; Web Design; The models for analyzing and evaluating the financial assets 1; Cloud Service Security,CNTT1167,0.0,1.0,1.0,1.0
57,696fca2cb166038a822e4750,groundtruth_dataset,4,Production Cost Optimization; Product Costing; Strategic Financial Analysis for Construction/Manufacturing; Management of Industrial Accounting Systems,Production Cost Optimization; Product Costing; Strategic Financial Analysis for Construction/Manufacturing; Management of Industrial Accounting Systems,<groundtruth_gap_source>,,12,3d6ae96017f46c2e; 2114edf5818ba05a; 4cb2fc6fa462b35a; 4d5c583613a3a65e; f32c55921601bc1f; 31cf49e9eea666a7; 6a6ebe8510ced07b; b200b989ecb8c273; 555ae346819a37b6; a534d9de6c4b3839; 32792b3a93711fb1; 777cca00bf6e574c,Cost Management; Creating production cost reports; Cost Planning Principles; Types of Costs and Product Costs; Understanding cost calculation methods for products; Differentiating types of costs and product costs; Financial Analysis; Corporate Finance Analysis; Strategic Analysis; Organizing Accounting Systems; Systematizing Accounting Information Systems; Describe Accounting Information Systems,Production Cost Optimization -> 3d6ae96017f46c2e:Cost Management (0.8905); Product Costing -> 4d5c583613a3a65e:Types of Costs and Product Costs (0.9311); Strategic Financial Analysis for Construction/Manufacturing -> 6a6ebe8510ced07b:Financial Analysis (0.9023); Management of Industrial Accounting Systems -> a534d9de6c4b3839:Organizing Accounting Systems (0.9205),4,QTTH1116; KTQT1109; KTQT1103; KTQT1106,KTQT1109; KTHT1101; QTTH1116; TOTC1121; CNTT1137; DTKT 1111; NHTC1103; TNKT1150; TMKT1141; NHCO1119,Cost Accounting; Accounting Information Systems 1; Cost Management; Quantitative risk management 2; Business Analysis; Investment Project Design and Management; Quản trị Tài chính trong du lịch và khách sạn; Agribusiness Investment Project; Commercial Enterprise Management; Public Asset Management,KTQT1109; QTTH1116,1.0,1.0,1.0,1.0
