pair_id,jd_id,jd_title,truth_courses,gap_skill,gap_description,mapped_canonical_skill,mapped_canonical_skill_id,mapped_skill_description_proxy,mapping_score,below_top1_threshold_0_87,heuristic_generic_or_cross_domain,why_likely_wrong
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,multithreading,Ability to implement multithreading for efficient concurrent execution and synchronization within complex system software.,Process Communication and Synchronization,20eee9e87acff49b,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
55,695cbcbd1fa95d1eeecca0be,"Back End Developer (Java, MySQL, Spring)",CNTT1167; TIKT1124; TIKT1130,AWS,Skill in leveraging Amazon Web Services to deploy and maintain scalable cloud-native backend solutions.,Web Services Technologies,f39e4ff9d1d348e9,,0.768,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
55,695cbcbd1fa95d1eeecca0be,"Back End Developer (Java, MySQL, Spring)",CNTT1167; TIKT1124; TIKT1130,GCP,Proficiency in Google Cloud Platform services for building and managing modern backend infrastructure and applications.,Deploying and managing web applications,55dcfba3a15e9371,,0.7877,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
208,695cc87c1fa95d1eeecca0e3,"Back End Developer (Java, MySQL, Spring)",CNTT1167; CNTT1186,Kubernetes,Missing proficiency in container orchestration for managing and scaling Java backend applications in cloud-native environments.,Deploying and managing web applications,55dcfba3a15e9371,,0.8186,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
219,6966aa84b166038a822e43f3,Chuyên Viên Quảng Cáo (Google Ads; Facebook Ads; Tik Tok Ads),TIHT1123; CNTT1140,chatbots,Missing experience in implementing and managing automated chatbots to streamline customer interactions and support marketing automation.,Role and position of digital marketing strategy,214cc1de99277305,,0.8381,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
12,694a8c5247743a24b54ffb03,"Data Engineer (Spark, AWS Glue) (Onboard ASAP)",CNTT1167; CNTT1198; CNTT1186,ECS/EKS,Lacks skills in orchestrating containerized applications using AWS ECS or EKS for scalable and managed data processing tasks.,Proficient Computer Skills in Data Mining,d5f90597d244bc06,,0.8429,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,Change management,"Ability to manage DBMS object changes including tables, indexes, views, and procedures during database updates.",Database Design and Management,2f605ae1bc21a044,,0.844,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
208,695cc87c1fa95d1eeecca0e3,"Back End Developer (Java, MySQL, Spring)",CNTT1167; CNTT1186,GCP,Requires knowledge of Google Cloud Platform tools and infrastructure for building and operating cloud-based backend services.,Cloud Concepts,cc975e69d79a6f6f,,0.8466,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
219,6966aa84b166038a822e43f3,Chuyên Viên Quảng Cáo (Google Ads; Facebook Ads; Tik Tok Ads),TIHT1123; CNTT1140,AI,Need to apply artificial intelligence tools to automate marketing activities and improve customer engagement efficiency.,Online and Offline Marketing Tools,c9684dc5c9800452,,0.8516,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
9,697a65cfb166038a822e4d2c,Chuyên Viên Nhân Sự Tổng Hợp,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,Lean,Lacks experience applying Lean methodologies to eliminate administrative waste and improve efficiency in HR operational processes.,Human Resource Management in Insurance,43c84d9fcc178867,,0.8597,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
0,695cb6e11fa95d1eeecca0b2,Data Engineer (DBA),CNTT1167; CNTT1186,Azure,"Missing proficiency in designing, building, and operating database systems within the Microsoft Azure public cloud environment.",SQL Database Management,0903a2efa00ef879,Create and manage simple databases with SQL Server,0.8629,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,parallel processing,Competency in parallel processing to optimize performance and execute mathematical models for system analysis.,Data Analysis Software Skills,125742c2ece8e9ae,,0.8687,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
9,697a65cfb166038a822e4d2c,Chuyên Viên Nhân Sự Tổng Hợp,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,AWS,Requires technical competency in utilizing AWS cloud infrastructure to manage and secure digital HR records and applications.,Human Resource Management in Insurance,43c84d9fcc178867,,0.8701,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
90,696380c657a0f8cfb910e926,"IT Comtor (PHP, Python, Laravel, WordPress, Japanese)",CNTT1180; CNTT1116,Docker,Absence of proficiency in Docker infrastructure required to support development environments and bridge-related technical coordination within IT projects.,Web Development Tools,f88313c4e8cfe4de,,0.8705,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
221,6970be22b166038a822e482c,Chuyên Viên Tuyển Dụng Và Đào Tạo,CNTT1177; CNTT1187; CNTT1116; CNTT1180; CNTT1167,AWS,Missing knowledge of AWS cloud platforms for deploying and managing HR-related applications and infrastructure.,Recruitment Concept Understanding,a6750d1525020600,,0.8899,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
208,695cc87c1fa95d1eeecca0e3,"Back End Developer (Java, MySQL, Spring)",CNTT1167; CNTT1186,AWS,"Lacks experience with Amazon Web Services for deploying, hosting, and managing enterprise-grade backend systems and databases.",Deploying and managing web applications,55dcfba3a15e9371,,0.8922,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
79,696fcd1eb166038a822e4765,"Phụ Trách Kinh Doanh, Bảo Hiểm Phi Nhân Thọ",MKBH1109; BHKT1166,Non-life Insurance Products,Proficiency in understanding and explaining diverse non-life insurance coverage options to potential clients and sales teams.,Customer Management in Insurance,703afbde6bba8eb9,,0.8988,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
468,695b91ceb166038a822e3be6,Sale Admin,TKKT1133; TKKT1134; TKKT1124,Access,Proficiency in using Microsoft Access to manage sales databases and track customer records effectively within sales administration.,Sales Management,04219a23329000ee,,0.9018,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,MariaDB,Skills in SQL development and database administration for MariaDB to support robust data engineering operations.,MySQL Database Management System,4611994bd0ab71de,,0.9021,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
9,697a65cfb166038a822e4d2c,Chuyên Viên Nhân Sự Tổng Hợp,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,SEO,Missing skills in SEO to optimize online job advertisements for better visibility and talent attraction.,Determine human resource requirements for e-commerce businesses,e82170a1426c4696,,0.9045,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
12,694a8c5247743a24b54ffb03,"Data Engineer (Spark, AWS Glue) (Onboard ASAP)",CNTT1167; CNTT1198; CNTT1186,containerization,Missing experience with containerization strategies to ensure portability and scalability of Python-based ETL workflows and Spark jobs.,Python Programming,c44d9221d54651ad,Proficiency in using Python for machine learning tasks.,0.9121,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,Performance tuning,Expertise in SQL performance tuning to optimize query execution and overall database efficiency across multiple platforms.,SQL Database Management,0903a2efa00ef879,Create and manage simple databases with SQL Server,0.9164,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,GCP,Competency in designing and operating database services like BigQuery within the Google Cloud Platform environment.,Google Colab,70f0d3e18d498cc9,Use Google Colab for Python development.,0.9176,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,Oracle,"Proficiency in designing, building, and operating Oracle database systems, including cloud-hosted instances like Amazon RDS.",Database Management System Proficiency,d6ef1394dbe285cd,"Proficiently use one of the following database management systems: MS SQL Server, Access, MySQL.",0.9177,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
219,6966aa84b166038a822e43f3,Chuyên Viên Quảng Cáo (Google Ads; Facebook Ads; Tik Tok Ads),TIHT1123; CNTT1140,Zalo Ads,Lacking proficiency in deploying and optimizing advertising campaigns specifically on the Zalo platform to reach local audiences.,Advertising Campaign Management,cf74ce0e22303913,,0.9191,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
0,695cb6e11fa95d1eeecca0b2,Data Engineer (DBA),CNTT1167; CNTT1186,Redshift,Lacks experience managing and optimizing Amazon Redshift databases for large-scale data engineering and cloud operations.,Managing large datasets,983b5e0fb845ddb8,Ability to manage large datasets effectively.,0.9204,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
66,695cbcbd1fa95d1eeecca0bf,"Data Engineer (Spark, AWS Glue, Python) (Onboard ASAP)",CNTT1167,AWS Glue,Designing and optimizing scalable ETL/ELT pipelines and Spark-based workflows within AWS cloud environments.,Data Readers and DataSets,c16f29e5a0dafd65,,0.9224,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
468,695b91ceb166038a822e3be6,Sale Admin,TKKT1133; TKKT1134; TKKT1124,Data analysis,Competency in analyzing sales data to generate insights and support weekly or quarterly reporting for the BOD team.,Analyzing sales situations,3490631b28ced07e,,0.9228,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
492,695b9796b166038a822e3c2b,Fresher IT Helpdesk (Đào Tạo Chuyên Môn Cho Dự Án),NNKC 1131; CNTT1192; NNKC 1132; NNTM1181; NNTM1180,Microsoft Teams,Needs proficiency in configuring and troubleshooting Microsoft Teams to support enterprise collaboration and end-user communication.,Team Support Skills,89a000626d916318,,0.93,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
468,695b91ceb166038a822e3be6,Sale Admin,TKKT1133; TKKT1134; TKKT1124,Interpreting,Proven experience in verbal interpretation between Chinese and/or English to facilitate communication and support the sales department's needs.,Sales Management,04219a23329000ee,,0.9321,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
221,6970be22b166038a822e482c,Chuyên Viên Tuyển Dụng Và Đào Tạo,CNTT1177; CNTT1187; CNTT1116; CNTT1180; CNTT1167,Machine Learning,Inability to utilize machine learning for optimizing candidate matching and predicting training program effectiveness.,Recruitment Effectiveness Assessment,cd48a39f6f0c5f03,,0.9327,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
12,694a8c5247743a24b54ffb03,"Data Engineer (Spark, AWS Glue) (Onboard ASAP)",CNTT1167; CNTT1198; CNTT1186,Docker,Needs proficiency in using Docker to package and deploy data engineering applications consistently across AWS cloud environments.,Data Preprocessing,5a945e3f1f8ebe34,"Develop skills in searching, processing, analyzing, transforming, and visualizing data using packages such as readr, readxl, dplyr, ggplot2, stringr.",0.936,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
90,696380c657a0f8cfb910e926,"IT Comtor (PHP, Python, Laravel, WordPress, Japanese)",CNTT1180; CNTT1116,Python,Lacks experience using Python for project management and development support when communicating between Japanese clients and engineering teams.,Python Programming,c44d9221d54651ad,Proficiency in using Python for machine learning tasks.,0.941,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
155,6965c64eb166038a822e4305,"Nhân Viên Tư Vấn Tuyển Sinh/ Telesale/ Sale Giáo Dục (NỮ, 23 - 31 Tuổi), Thu Nhập 18 - 30 Triệu++ Tại Hồ Chí Minh",NNTM1176; NNKC 1131,English proficiency (IELTS 5.5 or equivalent),"Need for intermediate English skills, specifically IELTS 5.5 level, to effectively communicate and support educational consulting activities.",IELTS Exam Skills Application,a99dfa4a5d913f9c,,0.9435,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
55,695cbcbd1fa95d1eeecca0be,"Back End Developer (Java, MySQL, Spring)",CNTT1167; TIKT1124; TIKT1130,Kubernetes,Ability to manage and scale containerized applications using Kubernetes for robust backend service orchestration.,Explaining front-end and back-end programming,ce877ea042597d23,,0.9478,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
753,693cba5dd19398c89a04ec97,Middle/Senior UI/UX Designer,TIHT1104; CNTT1178,Heuristic Evaluation,Needs proficiency in auditing interfaces against usability principles to ensure intuitive and consistent user experiences.,Design Thinking,1ca5deb77ac9c32f,,0.9508,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
492,695b9796b166038a822e3c2b,Fresher IT Helpdesk (Đào Tạo Chuyên Môn Cho Dự Án),NNKC 1131; CNTT1192; NNKC 1132; NNTM1181; NNTM1180,Basic English reading comprehension,"Requires better English skills to understand technical manuals, system messages, and documentation during IT troubleshooting.",Basic IT Skills,42e1ab4f1521f4bb,,0.951,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
55,695cbcbd1fa95d1eeecca0be,"Back End Developer (Java, MySQL, Spring)",CNTT1167; TIKT1124; TIKT1130,MongoDB,Proficiency in MongoDB for managing NoSQL data structures within high-performance backend application architectures.,Designing applications with MongoDB,cb62eba40b93615e,,0.9517,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
753,693cba5dd19398c89a04ec97,Middle/Senior UI/UX Designer,TIHT1104; CNTT1178,A/B Testing,Missing the ability to design and run comparative tests to validate design solutions using data-driven insights.,Design Thinking,1ca5deb77ac9c32f,,0.9544,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
66,695cbcbd1fa95d1eeecca0bf,"Data Engineer (Spark, AWS Glue, Python) (Onboard ASAP)",CNTT1167,IAM,Implementing robust access controls and security policies to protect sensitive data and cloud infrastructure resources.,Working with Data Controls,3daa64df2b26d99e,,0.9588,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
240,695ccad41fa95d1eeecca0ed,Principal AI Architect (English - Onboard after Tet),CNTT1130; TOkt1138,modern data engineering stacks,"Knowledge of modern data engineering stacks to build foundational architectures for scalable, intelligent agentic banking ecosystems.",Differentiate modern AI techniques,f23d28761d76eb43,"Apply modern AI techniques such as machine learning, neural networks, fuzzy logic, genetic algorithms, and data mining",0.9591,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,Azure,Experience in building and managing database infrastructures specifically within the Microsoft Azure public cloud ecosystem.,Microsoft SQL Server,ed346bb14786b438,Use Microsoft SQL Server for database management tasks.,0.9599,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
221,6970be22b166038a822e482c,Chuyên Viên Tuyển Dụng Và Đào Tạo,CNTT1177; CNTT1187; CNTT1116; CNTT1180; CNTT1167,SQL,Lack of SQL skills to query and manage candidate databases or HR information systems effectively.,Recruitment Principles Application,0528899e78d73db6,,0.9627,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
87,6963803557a0f8cfb910e924,Process Quality Assurance (PQA),CNTT1159; TIKT1113,FMEA,Ability to perform Failure Mode and Effects Analysis to identify potential process failures and implement corrective quality actions.,Quality Management Process,de18e156e19bbfbb,,0.9638,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
79,696fcd1eb166038a822e4765,"Phụ Trách Kinh Doanh, Bảo Hiểm Phi Nhân Thọ",MKBH1109; BHKT1166,Sales Agent Training,Ability to educate and develop sales agents on product knowledge and selling techniques to meet business objectives.,Sales techniques,848ed9aebcd2af64,,0.966,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
66,695cbcbd1fa95d1eeecca0bf,"Data Engineer (Spark, AWS Glue, Python) (Onboard ASAP)",CNTT1167,VPC,Configuring isolated network architectures to secure data pipelines and cloud infrastructure from unauthorized access.,Data Protection,e335e87b37418cae,Protect data across all layers of the OSI model.,0.9678,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
468,695b91ceb166038a822e3be6,Sale Admin,TKKT1133; TKKT1134; TKKT1124,Reports,Ability to collect and generate accurate weekly and quarterly sales reports to support administrative and management decision-making.,Sales Management,04219a23329000ee,,0.9714,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
240,695ccad41fa95d1eeecca0ed,Principal AI Architect (English - Onboard after Tet),CNTT1130; TOkt1138,.Net,"Expertise in .Net to integrate AI-first solutions within modular, production-grade cloud-native banking architectures.",Model Building for AI Applications,302e3da4908ab96e,Develop models and applications of AI in business and management.,0.9727,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
240,695ccad41fa95d1eeecca0ed,Principal AI Architect (English - Onboard after Tet),CNTT1130; TOkt1138,data pipelines,Ability to design automated data pipelines that support the continuous improvement and monitoring of advanced AI workloads.,Model Building for AI Applications,302e3da4908ab96e,Develop models and applications of AI in business and management.,0.9727,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
208,695cc87c1fa95d1eeecca0e3,"Back End Developer (Java, MySQL, Spring)",CNTT1167; CNTT1186,GOC,Lacks experience with GOC frameworks or operational standards required for LG CNS backend development projects.,Explaining front-end and back-end programming,ce877ea042597d23,,0.9773,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
55,695cbcbd1fa95d1eeecca0be,"Back End Developer (Java, MySQL, Spring)",CNTT1167; TIKT1124; TIKT1130,GO,"Knowledge of the Go language for developing efficient, concurrent backend services to complement the existing Java environment.",Explaining front-end and back-end programming,ce877ea042597d23,,0.9861,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
87,6963803557a0f8cfb910e924,Process Quality Assurance (PQA),CNTT1159; TIKT1113,project-management-tools-JIRA,"Experience using JIRA for tracking process audits, managing quality tasks, and reporting deviations within PQA project lifecycles.",Project Quality Assurance Techniques,5faaddd15cf75f09,,0.9871,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
226,697b2274b166038a822e4d5d,Nhân Viên Kho Cửa Hàng - Làm Part Time Tại Quận 1,TIKT1124; TIKT1130; CNTT1152,database management,Lacks proficiency in managing inventory databases to ensure accurate tracking and reporting of warehouse stock movements.,Warehouse Management,bf524fa43e27c8c9,,0.9874,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
435,6954e38cb27a39886f08b65d,Thiết Kế UI/UX (App Mobile),CNTT1140,Material Design,"Mastering Google’s design system for creating consistent, high-quality mobile app interfaces that meet global platform standards.",Interface Design,40b314bff06261d1,,0.9892,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
753,693cba5dd19398c89a04ec97,Middle/Senior UI/UX Designer,TIHT1104; CNTT1178,AI Copilot Studio,Lacks familiarity with AI Copilot Studio to streamline design workflows and integrate AI-powered productivity tools.,Design Thinking,1ca5deb77ac9c32f,,0.996,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
142,695283c0b27a39886f08ae47,Nhân Viên Nuôi Tài Khoản Facebook Ads,TKKT1133; TKkD1127,Data Analysis for Facebook Ad Campaigns,Lacks proficiency in analyzing campaign metrics and daily spend to optimize Facebook account performance and advertising effectiveness.,Advertising Campaign Management,cf74ce0e22303913,,0.998,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
753,693cba5dd19398c89a04ec97,Middle/Senior UI/UX Designer,TIHT1104; CNTT1178,Design Tokens,Requires expertise in implementing design tokens to maintain consistency and scalability within complex design systems.,Design Thinking,1ca5deb77ac9c32f,,0.9987,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
240,695ccad41fa95d1eeecca0ed,Principal AI Architect (English - Onboard after Tet),CNTT1130; TOkt1138,computer vision,Competency in computer vision to implement advanced AI technologies alongside LLMs for comprehensive agent-driven financial services.,Model Building for AI Applications,302e3da4908ab96e,Develop models and applications of AI in business and management.,0.999,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
79,696fcd1eb166038a822e4765,"Phụ Trách Kinh Doanh, Bảo Hiểm Phi Nhân Thọ",MKBH1109; BHKT1166,Partner Relationship Management,Skill in cultivating and maintaining strategic alliances with banks and partners to drive higher sales productivity.,Customer Management in Insurance,703afbde6bba8eb9,,1.0,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
90,696380c657a0f8cfb910e926,"IT Comtor (PHP, Python, Laravel, WordPress, Japanese)",CNTT1180; CNTT1116,WordPress,Missing technical competency in WordPress CMS to effectively translate requirements and manage web development projects for Japanese stakeholders.,Web development using WordPress,59a049c750394673,,1.0,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
155,6965c64eb166038a822e4305,"Nhân Viên Tư Vấn Tuyển Sinh/ Telesale/ Sale Giáo Dục (NỮ, 23 - 31 Tuổi), Thu Nhập 18 - 30 Triệu++ Tại Hồ Chí Minh",NNTM1176; NNKC 1131,E-learning product knowledge,Lack of understanding regarding digital education platforms and features necessary to effectively consult students on various online course offerings.,Online Learning,dc2bc70793079463,,1.0,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
221,6970be22b166038a822e482c,Chuyên Viên Tuyển Dụng Và Đào Tạo,CNTT1177; CNTT1187; CNTT1116; CNTT1180; CNTT1167,CISSP,Lacks information security expertise required to safeguard recruitment platforms and sensitive candidate information.,Strategic Recruitment Analysis,16b4238fee0d87fd,,1.0,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
221,6970be22b166038a822e482c,Chuyên Viên Tuyển Dụng Và Đào Tạo,CNTT1177; CNTT1187; CNTT1116; CNTT1180; CNTT1167,Python,Missing competency in Python for automating recruitment reporting and performing advanced HR data analysis.,Strategic Recruitment Analysis,16b4238fee0d87fd,,1.0,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
435,6954e38cb27a39886f08b65d,Thiết Kế UI/UX (App Mobile),CNTT1140,AI,Leveraging artificial intelligence tools to optimize design workflows and boost creativity in mobile app UI/UX development.,Mobile Application Development,4fd034811c0b16b8,,1.0,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
492,695b9796b166038a822e3c2b,Fresher IT Helpdesk (Đào Tạo Chuyên Môn Cho Dự Án),NNKC 1131; CNTT1192; NNKC 1132; NNTM1181; NNTM1180,General office software,"Lacks the ability to install, update, and resolve common issues within standard productivity suites like Microsoft Office.",Basic IT Skills,42e1ab4f1521f4bb,,1.0,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
